age,work_class,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,annual_income
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,13, NorthAmerica, <=50K
38, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, NorthAmerica, <=50K
53, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, NorthAmerica, <=50K
37, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, NorthAmerica, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, NorthAmerica, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, NorthAmerica, >50K
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,80, NorthAmerica, >50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, NorthAmerica, <=50K
32, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Male,0,0,50, NorthAmerica, <=50K
34, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, NorthAmerica, <=50K
38, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, NorthAmerica, <=50K
43, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, NorthAmerica, >50K
43, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2042,40, NorthAmerica, <=50K
59, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, NorthAmerica, <=50K
39, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,80, NorthAmerica, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,44, NorthAmerica, <=50K
45, Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Male,0,1408,40, NorthAmerica, <=50K
48, Private, 11th, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, NorthAmerica, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, NorthAmerica, <=50K
19, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, NorthAmerica, <=50K
31, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, NorthAmerica, <=50K
24, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, NorthAmerica, <=50K
49, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, NorthAmerica, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, NorthAmerica, <=50K
53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, NorthAmerica, <=50K
44, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, NorthAmerica, <=50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, NorthAmerica, <=50K
47, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, NorthAmerica, <=50K
43, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, NorthAmerica, >50K
46, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, NorthAmerica, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, NorthAmerica, <=50K
30, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40, NorthAmerica, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, NorthAmerica, <=50K
29, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, NorthAmerica, <=50K
28, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, NorthAmerica, <=50K
53, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, NorthAmerica, >50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, NorthAmerica, >50K
31, Private, Bachelors, Separated, Sales, Own-child, Black, Female,0,0,40, NorthAmerica, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, NorthAmerica, >50K
23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, NorthAmerica, <=50K
40, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, NorthAmerica, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,30, NorthAmerica, <=50K
59, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, NorthAmerica, <=50K
53, Private, HS-grad, Divorced, Sales, Own-child, White, Female,0,0,35, NorthAmerica, <=50K
